41776409	Abnormal imaging features of episodic cluster headache and episodic migraine: a multimodal 7T MRI study.	J Headache Pain	2026 Mar 3
41776382	Performance of the 2024 McDonald diagnostic criteria for multiple sclerosis.	Mult Scler	2026 Mar 3
41776355	Motion-compensated diffusion encoding gradients for segmented thick-slab 3D magnetic resonance diffusion-weighted imaging of the brain.	Med Phys	2026 Mar
41776305	Downfield magnetic resonance signals serve as endogenous imaging biomarkers of nucleotide metabolism in glioma.	Commun Biol	2026 Mar 3
41776260	Brain connectivity and its relation to cognitive function in patients with post-COVID 19 condition after mild infection.	Sci Rep	2026 Mar 3
41776187	Impact of PSA- versus STN-DBS on effective connectivity in Parkinson's disease - a 3.0T resting-state fMRI study.	NPJ Parkinsons Dis	2026 Mar 3
41776178	Contrast-free identification of glioma blood-brain barrier status via generative diffusion AI and non-contrast MRI.	Nat Commun	2026 Mar 3
41776167	ATP bioenergetics and fatigue in young adults with and without major depression.	Transl Psychiatry	2026 Mar 4
41776163	Spatial gene expression and functional network abnormalities in multiple sclerosis: exploring biological influence on brain functional reorganization.	Transl Psychiatry	2026 Mar 3
41776019	Andexanet alfa Reduces Hematoma Expansion Following Controlled Cortical Impact in Mice Pretreated with Rivaroxaban.	Neurocrit Care	2026 Mar 3
41775974	Control vs. salience: a new axis of circadian brain-body organization.	NPJ Biol Timing Sleep	2026 Feb 16
41775953	Deep learning-based basilar artery wall and lumen segmentation from 1-mm MR vessel wall imaging.	Sci Rep	2026 Mar 3
41775766	Evaluation of cerebral blood flow and glymphatic function in acute mountain sickness by MRI ASL and DTI ALPS.	Sci Rep	2026 Mar 3
41775699	Stage-Dependent mediation of white matter hyperintensities between plasma biomarkers and cognitive function in Alzheimer's disease.	Transl Psychiatry	2026 Mar 3
41775628	Activity-dependent regulation of basal forebrain cholinergic neurons by striatal spiny projection neurons.	J Neurosci	2026 Mar 3
41775480	Cross-sectional observational study evaluating social brain health in HIV using a research domain criteria-based approach: a protocol.	BMJ Open	2026 Mar 3
41775373	White Matter Hyperintensities and Neuropsychiatric Symptoms in Neurodegenerative Diseases.	J Clin Neurol	2026 Mar
41775207	Altered spontaneous activity and functional connectivity of the cingulate gyrus is correlated with anxiety in patients with benign paroxysmal positional vertigo.	Psychiatry Res Neuroimaging	2026 Feb 22
41775206	Analysis of the application value of multi-slice spiral CT and multimodal MRI in screening patients with bipolar disorder.	Psychiatry Res Neuroimaging	2026 Feb 18
41775110	Management of spontaneous intracranial hypotension during second trimester of pregnancy and neuraxial labour analgesia for operative vaginal delivery: a case report.	Int J Obstet Anesth	2026 Feb 24
41775070	Transformer-encoded nnU-Net with local region perceptron and contrastive learning (TLC-nnUNet) for multiple brain metastasis detection and delineation.	Phys Med Biol	2026 Mar 3
41775054	Quantification of muscle morphology and stiffness in spastic hemiplegic cerebral palsy versus typically developing controls using magnetic resonance elastography.	Clin Biomech (Bristol)	2026 Feb 24
41774902	[Cognitive and psychiatric evolution in autoimmune encephalitis in a school-aged child: Clinical case].	Rev Med Inst Mex Seguro Soc	2026 Mar 3
41774884	[Pediatric parasagittal meningioma, case report].	Rev Med Inst Mex Seguro Soc	2026 Mar 3
41774867	Brain-Adhesive Bioelectronics With Shape-Morphable and Biodegradable Properties for Stable Brain Signal Monitoring.	Adv Sci (Weinh)	2026 Mar 3
41774789	A data-driven framework linking the connectome to spatial gene expression gradients inspired by chemoaffinity theory.	Proc Natl Acad Sci U S A	2026 Mar 10
41774666	MLC-GCN: Multi-Level Generated Connectome Based GCN for AD Detection.	IEEE Trans Biomed Eng	2026 Mar 3
41774607	Old Lesions and New Targets: sEEG-Identified Onsets in Traditionally Inoperable Epilepsy Lesions and Associated Surgical Outcomes.	Pediatr Neurosurg	2026 Mar 3
41774488	Diffusion Tensor Imaging for Brain Injury Assessment: Methodological Foundations and Clinical Insights.	Crit Rev Biomed Eng	2026
41774335	Low-flow vascular malformations without arteriovenous shunting of the central nervous system: a pictorial review.	Insights Imaging	2026 Mar 3
41774050	Incidence of silent cerebral lesions during pulsed field ablation for paroxysmal atrial fibrillation.	Ann Med	2026 Dec
41773905	Correlation between the neutrophil-to-lymphocyte ratio and enlarged perivascular spaces in type 2 diabetes mellitus.	J Diabetes Investig	2026 Mar 3
41773572	Post-traumatic Hypertrophic Olivary Degeneration with Palatal Myoclonus-A Case Report.	J Child Neurol	2026 Mar 3
41773243	Genetically Simulated GLP-1 Receptor Agonism and Cerebral Small Vessel Disease.	Neurol Genet	2026 Apr
41773113	Metronidazole-Induced Neurotoxicity: A Case Report.	Cureus	2026 Jan
41773083	Clinical Problem Solving: A 68-Year-Old Woman With Acute Apraxic Agraphia, Constructional Apraxia, and Finger Agnosia.	Neurohospitalist	2026 Feb 27
41773060	Predictors of Hearing Recovery in Sudden Sensorineural Hearing Loss: Focus on Lipids, Glucocorticoids, and Predictive Model Performance.	Ear Nose Throat J	2026 Mar 3
41772873	Synergistic action of human milk oligosaccharides and lactoferrin enhances neurodevelopment in piglets: evidence from MRS based metabolic profiling.	Nutr Neurosci	2026 Mar 2
41772840	Prenatal experience of greater neighborhood disadvantage is associated with altered fetal volumetric brain growth in utero.	Cereb Cortex	2026 Mar 3
41772811	Neurological Complications in Sickle Cell Disease: Clinical, Analytical and Radiological Correlations in a Multicentre Cohort.	Hemoglobin	2026 Mar 2
41772744	Motion-Compensated Diffusion Imaging With Phase-Contrast for Robust Quantification of Regional Cerebral Blood Flow.	Magn Reson Med	2026 Mar 2
41772702	The clinical efficacy of virtual reality technology based on the mirror neuron theory in upper limb rehabilitation of stroke patients: a protocol for a randomized clinical trial.	Trials	2026 Mar 3
41772699	Multi-reader evaluation of deep learning-based auto-segmentation of eloquent brain arteriovenous malformation on MRA and white matter tractography in stereotactic radiosurgery.	Radiat Oncol	2026 Mar 2
41772504	Can the addition of "Black Bone" sequence improve diagnosis of skull fractures after traumatic brain injury in children?	BMC Med Imaging	2026 Mar 2
41772466	Isolated Intracranial Rosai-Dorfman Disease Mimicking Sellar Pituitary Adenoma: a case report and literature review.	BMC Neurol	2026 Mar 2
41772375	Altered locus coeruleus links to atrophy and hypometabolism in individuals with high Alzheimer's disease biomarkers.	Alzheimers Dement	2026 Mar
41772138	Combined hemodynamic and cerebrospinal fluid alterations contribute to the occurrence of sigmoid sinus diverticulum-pulsatile tinnitus.	Neuroradiology	2026 Mar 3
41772025	The role of dorsal anterior cingulate cortex in dynamic attitude changes in naturalistic settings.	Commun Biol	2026 Mar 2
41772023	3DViT-GAT: a unified atlas-based 3D vision transformer and graph learning framework for major depressive disorder detection using structural MRI data.	Sci Rep	2026 Mar 2
41772002	Structural and functional atypicality in the temporal cortex are associated with auditory perception in maltreated children.	Sci Rep	2026 Mar 2
41771931	Sustained Attention Task (gradCPT) Dataset using simultaneous EEG-fMRI and DTI.	Sci Data	2026 Mar 3
41771832	Mapping heterogeneous brain structural subtypes in alzheimer's disease and mild cognitive impairment using normative models.	Transl Psychiatry	2026 Mar 2
41771736	Expectation modulates the hedonic experiences of and midbrain responses to sweet flavour.	J Neurosci	2026 Mar 2
41771734	Decoding MRI Presentation of Primary Central Nervous System Diffuse Large B Cell Lymphoma: A Novel Subgroup Perspective.	AJNR Am J Neuroradiol	2026 Mar 2
41771487	Exploring manganese-loaded nanoparticle formulations as contrast agents: A comprehensive in vitro and in vivo study.	J Pharm Sci	2026 Feb 28
41771442	Advances in the study of the glymphatic system and diabetes-related cognitive dysfunction.	Diabetes Res Clin Pract	2026 Feb 28
41771236	Static and dynamic functional connectivity alterations in mice with LPS-induced depression: A 9.4T fMRI study using independent component and graph theory analyses.	J Psychiatr Res	2026 Feb 24
41771040	Sjögren Syndrome Associated Limbic Encephalitis and Its Longitudinal Brain FDG PET Manifestations.	Clin Nucl Med	2026 Apr 1
